country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,8.7,8.7,8.8,8.7,9,9,9.1,9.1,8.9,8.8,8.9,,
Nicaragua,,,,,,,,,,,,,,,2.1,,,,,3.1,,,3.9,,,,4.8,,,,5.3,,,,,5.1,,,
Niger,,,,,,,,,,,,,,7.5,,6,,,,,,,,,,,5.8,,7.7,,,,8.9,,,7.8,,,
Nigeria,,,,,,,6,,,,,,,4,,,,3.7,,,,,,,5.7,,,,,,5.4,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,9.5,8.8,9,9.2,9.4,9.1,9.4,9.5,9.5,9.4,9.3,9.1,9,,
Pakistan,,,,,,,,,8.3,,,8.1,,,,,,9.9,,8.7,,,9.4,,,8.8,9,,9.2,,,9.6,9.3,,9.2,,8.9,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.3,7.8,7.1,,7.7,7.5,7.7,,,,,7.3,
Panama,3.9,,,,,,,,,,0.8,,1.2,,,,1.4,,1.7,1.6,1.9,2.1,1.9,2.5,2.4,2.6,2.7,2.5,2.9,3,3.5,3.3,3.4,3.2,3.3,3.3,3.4,3.3,
Papua New Guinea,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,5.1,,,,,,,,
Paraguay,,,,,,,,,,,,5.8,,,,,2.4,,2.5,,2.8,,3.1,2.9,3.4,4,3.9,3.6,3.6,4.1,4,3.8,3.5,4.2,4.4,4,4.3,4.5,
Peru,,,,,,,,,,,,,,,,,,,2.9,2.8,2.7,3.5,3.4,3.2,3.6,3.7,3.5,3.4,3.4,3.8,4,4.3,4.4,4.3,4.5,4.7,4.7,4.6,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,6.2,6.4,6.7,6.7,6.9,6.9,7.2,7,6.8,6.5,6.3,6.5,6.7,,
Romania,,,,,,,,,,,9.9,,,9.2,,8.9,,,,,,,,,,,,5,5.5,5.8,6,5.8,5.6,5.3,5,4.9,5.1,,
Russia,,,,,,,,,,,,,,,4.4,,,4.5,6.3,6.2,6.3,6.4,6.6,6.6,6.1,6,5.8,5.9,5.8,6.1,6.4,6.4,6.5,6.3,6.4,6.6,6.9,,
Rwanda,,,,,,9.7,,,,,,,,,,,,,,,,5.2,,,,,4.5,,,,,5.6,,,6,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,8.4,,,,,,,
Senegal,,,,,,,,,,,,,3.5,,,6.5,,,,,,,6.6,,,,6.2,,,,,,6.1,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,7.9,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,8.7,,,,,,,,8.7,8.7,9.3,9.5,9.2,8.6,8.5,8.7,8.6,8.3,8.4,8.5,,
Slovenia,,,,,,,,,,,,,,,9.3,,,,,,,,,,,9.8,9.9,10,10,10.2,9.9,9.7,9.7,9.4,9.2,9.4,9.6,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,7,,,,
South Africa,,,,,,,,,,,,,,,2.9,,,2.7,,,,3.1,,,,,2.6,,,2.6,,2.5,,,,2.4,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.2,,7.3,,7.3,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,
